no,food_name,food_group,food_category,cuisine
1,누룬밥,밥류,쌀밥류,한식
2,누룽지,밥류,쌀밥류,한식
3,쌀밥,밥류,쌀밥류,한식
4,찰밥,밥류,쌀밥류,한식
5,현미밥,밥류,잡곡밥류,한식
6,흑미밥,밥류,잡곡밥류,한식
7,강낭콩밥,밥류,잡곡밥류,한식
8,녹두밥,밥류,잡곡밥류,한식
9,밤밥,밥류,잡곡밥류,한식
10,밤팥밥,밥류,잡곡밥류,한식
11,보리밥,밥류,잡곡밥류,한식
12,수수밥,밥류,잡곡밥류,한식
13,오곡밥,밥류,잡곡밥류,한식
14,옥수수밥,밥류,잡곡밥류,한식
15,완두콩밥,밥류,잡곡밥류,한식
16,율무밥,밥류,잡곡밥류,한식
17,잡곡밥,밥류,잡곡밥류,한식
18,조밥,밥류,잡곡밥류,한식
19,차수수밥,밥류,잡곡밥류,한식
20,차조밥,밥류,잡곡밥류,한식
21,콩밥,밥류,잡곡밥류,한식
22,팥밥,밥류,잡곡밥류,한식
23,기장잡곡밥,밥류,잡곡밥류,한식
24,쑥쌀잡곡밥,밥류,잡곡밥류,한식
25,귀리밥,밥류,잡곡밥류,한식
26,감자밥,밥류,쌀밥류,한식
27,고구마밥,밥류,쌀밥류,한식
28,야채밥,밥류,쌀밥류,한식
29,영양밥(돌솥밥),밥류,쌀밥류,한식
30,콩나물밥,밥류,쌀밥류,한식
31,연잎밥,밥류,쌀밥류,한식
32,은행밥,밥류,쌀밥류,한식
33,곤드레밥,밥류,쌀밥류,한식
34,시래기밥,밥류,쌀밥류,한식
35,무밥,밥류,쌀밥류,한식
36,김치볶음밥,밥류,볶음밥류,한식
37,야채볶음밥,밥류,볶음밥류,한식
38,비빔밥,밥류,비빔밥류,한식
39,새우볶음밥,밥류,볶음밥류,한식
40,쇠고기볶음밥,밥류,볶음밥류,한식
41,열무비빔밥,밥류,비빔밥류,한식
42,오므라이스,밥류,볶음밥류,일식
43,참치볶음밥,밥류,볶음밥류,한식
44,콩나물비빔밥,밥류,비빔밥류,한식
45,새우필라프,밥류,볶음밥류,양식
46,햄필라프,밥류,볶음밥류,양식
47,강된장비빔밥,밥류,비빔밥류,한식
48,해물볶음밥,밥류,볶음밥류,한식
49,낙지볶음밥,밥류,볶음밥류,한식
50,목살필라프,밥류,볶음밥류,양식
51,꼬막비빔밥,밥류,비빔밥류,한식
52,아보카도명란비빔밥,밥류,비빔밥류,한식
53,쭈꾸미미나리볶음밥,밥류,볶음밥류,한식
54,돌솥비빔밥,밥류,비빔밥류,한식
55,육회비빔밥,밥류,비빔밥류,한식
56,햄계란볶음밥,밥류,볶음밥류,한식
57,쇠고기주먹밥,밥류,주먹밥,한식
58,리조또,밥류,기타밥류,양식
59,해물빠에야,밥류,기타밥류,양식
60,전복톳밥,밥류,쌀밥류,한식
61,파인애플볶음밥,밥류,볶음밥류,아시아
62,국밥,덮밥·국밥류,국밥류,한식
63,계란덮밥,덮밥·국밥류,덮밥류,한식
64,닭고기덮밥,덮밥·국밥류,덮밥류,한식
65,돈육카레라이스,덮밥·국밥류,카레라이스,일식
66,두부덮밥,덮밥·국밥류,덮밥류,한식
67,두부카레라이스,덮밥·국밥류,카레라이스,일식
68,버섯덮밥,덮밥·국밥류,덮밥류,한식
69,쇠고기야채덮밥,덮밥·국밥류,덮밥류,한식
70,순대국밥,덮밥·국밥류,국밥류,한식
71,오징어덮밥,덮밥·국밥류,덮밥류,한식
72,잡채밥,덮밥·국밥류,덮밥류,한식
73,잡탕밥,덮밥·국밥류,덮밥류,중식
74,짜장밥,덮밥·국밥류,덮밥류,중식
75,참치회덮밥,덮밥·국밥류,덮밥류,한식
76,한치회덮밥,덮밥·국밥류,덮밥류,한식
77,해물덮밥,덮밥·국밥류,덮밥류,한식
78,불고기덮밥,덮밥·국밥류,덮밥류,한식
79,제육덮밥,덮밥·국밥류,덮밥류,한식
80,참치덮밥,덮밥·국밥류,덮밥류,한식
81,회덮밥,덮밥·국밥류,덮밥류,한식
82,알밥,덮밥·국밥류,덮밥류,한식
83,돼지머리국밥,덮밥·국밥류,국밥류,한식
84,굴국밥,덮밥·국밥류,국밥류,한식
85,오징어카레라이스,덮밥·국밥류,카레라이스,일식
86,하이라이스,덮밥·국밥류,카레라이스,일식
87,김치국밥,덮밥·국밥류,국밥류,한식
88,콩나물국밥,덮밥·국밥류,국밥류,한식
89,짬뽕밥,덮밥·국밥류,덮밥류,중식
90,연어덮밥,덮밥·국밥류,덮밥류,한식
91,야채카레라이스,덮밥·국밥류,카레라이스,일식
92,닭고기카레라이스,덮밥·국밥류,카레라이스,일식
93,쇠고기카레라이스,덮밥·국밥류,카레라이스,일식
94,소머리국밥,덮밥·국밥류,국밥류,한식
95,어향가지덮밥,덮밥·국밥류,덮밥류,중식
96,부타동(간장돼지고기덮밥),덮밥·국밥류,덮밥류,일식
97,텐동(튀김덮밥),덮밥·국밥류,덮밥류,일식
98,에비동(새우튀김덮밥),덮밥·국밥류,덮밥류,일식
99,낙지덮밥,덮밥·국밥류,덮밥류,한식
100,쇠고기덮밥,덮밥·국밥류,덮밥류,한식
101,도토리묵밥,밥류,기타밥류,한식
102,치킨마요덮밥,덮밥·국밥류,덮밥류,한식
103,김밥,밥류,김밥,한식
104,김초밥,밥류,김밥,한식
105,생선초밥,밥류,초밥,일식
106,유부초밥,밥류,초밥,일식
107,김치김밥,밥류,김밥,한식
108,샐러드김밥,밥류,김밥,한식
109,소고기김밥,밥류,김밥,한식
110,참치김밥(완),밥류,김밥,한식
111,고추장불고기삼각김밥,밥류,김밥,한식
112,숯불갈비삼각김밥,밥류,김밥,한식
113,참치마요삼각김밥,밥류,김밥,한식
114,광어초밥,밥류,초밥,일식
115,모듬초밥,밥류,초밥,일식
116,참치고추김밥,밥류,김밥,한식
117,두부유부초밥,밥류,초밥,일식
118,치즈김밥,밥류,김밥,한식
119,날치알김밥,밥류,김밥,한식
120,돈까스김밥,밥류,김밥,한식
121,고추김밥,밥류,김밥,한식
122,쇠고기김밥,밥류,김밥,한식
123,참치김밥,밥류,김밥,한식
124,묵은지김밥,밥류,김밥,한식
125,유부김밥,밥류,김밥,한식
126,멸치김밥,밥류,김밥,한식
127,참치마요김밥,밥류,김밥,한식
128,건포도빵,빵·과자류,빵류,양식
129,고로케,빵·과자류,빵류,양식
130,곰보빵(소보로),빵·과자류,빵류,양식
131,데니쉬페이스트리(과일),빵·과자류,빵류,양식
132,데니쉬페이스트리(시나몬),빵·과자류,빵류,양식
133,데니쉬페이스트리(치즈),빵·과자류,빵류,양식
134,도우넛(링),빵·과자류,빵류,양식
135,도우넛(팥),빵·과자류,빵류,양식
136,롤빵(소프트롤),빵·과자류,빵류,양식
137,롤빵(하드롤),빵·과자류,빵류,양식
138,머핀,빵·과자류,빵류,양식
139,모카빵,빵·과자류,빵류,양식
140,바게뜨빵,빵·과자류,빵류,양식
141,버리토,빵·과자류,패스트푸드,양식
142,베이글,빵·과자류,빵류,양식
143,블란서빵,빵·과자류,빵류,양식
144,비스켓,빵·과자류,과자류,양식
145,비스켓(KFC),빵·과자류,과자류,양식
146,샌드위치(계란치즈),빵·과자류,샌드위치,양식
147,샌드위치(로스트비프),빵·과자류,샌드위치,양식
148,샌드위치(생선),빵·과자류,샌드위치,양식
149,샌드위치(치킨),빵·과자류,샌드위치,양식
150,샌드위치(햄치즈),빵·과자류,샌드위치,양식
151,슈크림,빵·과자류,빵류,양식
152,식빵,빵·과자류,빵류,양식
153,엔칠라다,빵·과자류,패스트푸드,양식
154,옥수수빵,빵·과자류,빵류,양식
155,와플,빵·과자류,빵류,양식
156,잉글리쉬머핀,빵·과자류,빵류,양식
157,쨈빵,빵·과자류,빵류,양식
158,찐빵(고기),빵·과자류,빵류,한식
159,찐빵(팥),빵·과자류,빵류,한식
160,초코파이,빵·과자류,과자류,양식
161,카스테라,빵·과자류,빵류,양식
162,커스터드,빵·과자류,빵류,양식
163,당근케이크,빵·과자류,케이크,양식
164,롤케이크,빵·과자류,케이크,양식
165,바나나케이크,빵·과자류,케이크,양식
166,생크림케이크,빵·과자류,케이크,양식
167,쇼트케이크,빵·과자류,케이크,양식
168,스폰지케이크,빵·과자류,케이크,양식
169,엔젤케이크,빵·과자류,케이크,양식
170,초코케이크,빵·과자류,케이크,양식
171,치즈케이크,빵·과자류,케이크,양식
172,컵케이크,빵·과자류,케이크,양식
173,파운드케이크,빵·과자류,케이크,양식
174,후르트케이크,빵·과자류,케이크,양식
175,크로쌍,빵·과자류,빵류,양식
176,크로쌍(계란치즈),빵·과자류,빵류,양식
177,크로쌍(버터),빵·과자류,빵류,양식
178,크림빵,빵·과자류,빵류,양식
179,타코,빵·과자류,패스트푸드,양식
180,토스트,빵·과자류,빵류,양식
181,고구마파이,빵·과자류,파이,양식
182,딸기파이,빵·과자류,파이,양식
183,블랙베리파이,빵·과자류,파이,양식
184,블루베리파이,빵·과자류,파이,양식
185,사과파이,빵·과자류,파이,양식
186,애플파이,빵·과자류,파이,양식
187,체리파이,빵·과자류,파이,양식
188,파인애플파이,빵·과자류,파이,양식
189,피칸파이,빵·과자류,파이,양식
190,호박파이,빵·과자류,파이,양식
191,팥빵,빵·과자류,빵류,양식
192,패스트리,빵·과자류,빵류,양식
193,푸딩(커스터드),빵·과자류,디저트,양식
194,피자,빵·과자류,패스트푸드,양식
195,피자(디럭스),빵·과자류,패스트푸드,양식
196,피자(소시지),빵·과자류,패스트푸드,양식
197,피자(쇠고기),빵·과자류,패스트푸드,양식
198,피자(슈프림),빵·과자류,패스트푸드,양식
199,피자(씬크리스피),빵·과자류,패스트푸드,양식
200,피자(치즈),빵·과자류,패스트푸드,양식
201,피자(슈퍼슈프림),빵·과자류,패스트푸드,양식
202,피자(씬크리스피슈퍼슈프림),빵·과자류,패스트푸드,양식
203,피자(씬크리스피슈프림),빵·과자류,패스트푸드,양식
204,피자(씬크리스피치즈),빵·과자류,패스트푸드,양식
205,피자(씬크리스피페퍼로니),빵·과자류,패스트푸드,양식
206,피자(야채),빵·과자류,패스트푸드,양식
207,피자(치즈),빵·과자류,패스트푸드,양식
208,피자(치즈쇠고기야채),빵·과자류,패스트푸드,양식
209,피자(콤비네이션),빵·과자류,패스트푸드,양식
210,피자(크러스트슈퍼슈프림),빵·과자류,패스트푸드,양식
211,피자(크러스트슈프림),빵·과자류,패스트푸드,양식
212,피자(크러스트치즈),빵·과자류,패스트푸드,양식
213,피자(크러스트페퍼로니),빵·과자류,패스트푸드,양식
214,피자(팬슈프림),빵·과자류,패스트푸드,양식
215,피자(팬치즈),빵·과자류,패스트푸드,양식
216,피자(팬페퍼로니),빵·과자류,패스트푸드,양식
217,피자(팬슈퍼슈프림),빵·과자류,패스트푸드,양식
218,피자(페퍼로니),빵·과자류,패스트푸드,양식
219,핫도그,빵·과자류,패스트푸드,양식
220,핫도그(칠리),빵·과자류,패스트푸드,양식
221,핫케익,빵·과자류,빵류,양식
222,햄버거(로이로저스),빵·과자류,패스트푸드,양식
223,햄버거(맥도날드),빵·과자류,패스트푸드,양식
224,햄버거(버거킹),빵·과자류,패스트푸드,양식
225,햄버거,빵·과자류,패스트푸드,양식
226,더블버거,빵·과자류,패스트푸드,양식
227,더블와퍼,빵·과자류,패스트푸드,양식
228,더블치즈와퍼,빵·과자류,패스트푸드,양식
229,로스트비프버거,빵·과자류,패스트푸드,양식
230,맥디엘티,빵·과자류,패스트푸드,양식
231,바버거,빵·과자류,패스트푸드,양식
232,베이컨치즈버거,빵·과자류,패스트푸드,양식
233,와퍼샌드위치,빵·과자류,패스트푸드,양식
234,와퍼주니어,빵·과자류,패스트푸드,양식
235,와퍼주니어치즈,빵·과자류,패스트푸드,양식
236,치즈버거,빵·과자류,패스트푸드,양식
237,치킨샌드위치,빵·과자류,패스트푸드,양식
238,쿼터파운더치즈,빵·과자류,패스트푸드,양식
239,크로상샌드위치,빵·과자류,패스트푸드,양식
240,햄치즈샌드위치,빵·과자류,패스트푸드,양식
241,호밀빵,빵·과자류,빵류,양식
242,프렌치토스트,빵·과자류,빵류,양식
243,꽈배기빵,빵·과자류,빵류,양식
244,이스트도넛,빵·과자류,빵류,양식
245,케이크도넛,빵·과자류,빵류,양식
246,찹쌀도넛,빵·과자류,빵류,양식
247,밤만주,빵·과자류,빵류,양식
248,모닝빵,빵·과자류,빵류,양식
249,베이글(계란),빵·과자류,빵류,양식
250,브레드스틱,빵·과자류,빵류,양식
251,비스켓(버거킹),빵·과자류,과자류,양식
252,옥수수식빵,빵·과자류,빵류,양식
253,우유식빵,빵·과자류,빵류,양식
254,프렌치토스트,빵·과자류,빵류,양식
255,오징어버거,빵·과자류,패스트푸드,양식
256,와플(쨈),빵·과자류,빵류,양식
257,와플(커스터드),빵·과자류,빵류,양식
258,단호박찐빵,빵·과자류,빵류,한식
259,감카스테라,빵·과자류,빵류,양식
260,배케이크,빵·과자류,케이크,양식
261,크로켓,빵·과자류,빵류,양식
262,감자크로켓,빵·과자류,빵류,양식
263,야채크로켓,빵·과자류,빵류,양식
264,크림크로켓,빵·과자류,빵류,양식
265,치즈크러스트피자,빵·과자류,패스트푸드,양식
266,치킨슈프림피자,빵·과자류,패스트푸드,양식
267,고기호빵,빵·과자류,빵류,한식
268,야채호빵,빵·과자류,빵류,한식
269,팥호빵,빵·과자류,빵류,한식
270,닭고기샌드위치,빵·과자류,샌드위치,양식
271,치킨샌드위치(KFC),빵·과자류,샌드위치,양식
272,BK브로일러치킨샌드위치,빵·과자류,샌드위치,양식
273,로스트비프샌드위치,빵·과자류,샌드위치,양식
274,햄샌드위치,빵·과자류,샌드위치,양식
275,볼로냐샌드위치,빵·과자류,샌드위치,양식
276,데리버거,빵·과자류,패스트푸드,양식
277,리브샌드,빵·과자류,패스트푸드,양식
278,불고기버거,빵·과자류,패스트푸드,양식
279,BB버거,빵·과자류,패스트푸드,양식
280,베이컨더블치즈버거,빵·과자류,패스트푸드,양식
281,치즈버거(롯데리아),빵·과자류,패스트푸드,양식
282,더블치즈버거,빵·과자류,패스트푸드,양식
283,더블치즈버거(버거킹),빵·과자류,패스트푸드,양식
284,빅킹샌드위치,빵·과자류,패스트푸드,양식
285,치킨버거,빵·과자류,패스트푸드,양식
286,쉑버거,빵·과자류,패스트푸드,양식
287,치킨치즈샌드위치,빵·과자류,샌드위치,양식
288,쿼터파운더,빵·과자류,패스트푸드,양식
289,참치샌드위치,빵·과자류,샌드위치,양식
290,BK빅피쉬샌드위치,빵·과자류,샌드위치,양식
291,휘쉬버거,빵·과자류,패스트푸드,양식
292,새우버거,빵·과자류,패스트푸드,양식
